Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Michael Lorenzen","COL",0,0,0,2,2,10,10.8,2.7,0.9,0.25,0.9375,0.4,0.083333333,93.56502151489258,1.8,2.4009726290886233,3.1930640220642093,3.680637750029564,0.24441820279891605,"Michael Lorenzen",14843,547179
"Shane McClanahan","TBR",0,2,0,3,3,12.2,11.368421623251143,5.684210811625571,0.7105263514531964,0.46153846153846156,0.67669173,0.578947368,0.1,96.03687942859739,7.1052635145319645,4.820314008402141,3.7246430011337175,3.8743625665205936,0.2349726600884079,"Shane McClanahan",21483,663556
"Hunter Brown","HOU",0,0,0,1,1,5.2,11.117648306190077,4.764706416938604,0,0.2727272727272727,0.83333333,0.545454545,0,96.08722065770348,1.588235472312868,2.888094289153173,2.2107109818903936,2.9993465385929294,0.2334378682985728,"Hunter Brown",25880,686613
"Tyler Rogers","TOR",0,0,0,7,0,7.1,4.909091121894278,1.2272727804735695,0,0.22727272727272727,1,0.727272727,0,,0,2.3723408353187847,2.411245810690004,3.2237793586239096,0.23218818782288958,"Tyler Rogers",15541,643511
"Chris Sale","ATL",0,1,0,1,1,5.2,9.529412833877208,1.588235472312868,0,0.35294117647058826,0.75,0.470588235,0,97.11414930555556,3.176470944625736,4.882299481562636,2.0342403738556305,3.085754449459012,0.2318884030845048,"Chris Sale",10603,519242
"Josh Hader","HOU",1,0,3,6,0,6,15,0,1.5,0.1111111111111111,1,0.4,0.166666666,,1.5,0.398933535059019,1.9263973553975429,1.2493754620353388,0.22859707248507735,"Josh Hader",14212,623352
"Shohei Ohtani","LAD",1,0,0,2,2,12.2,7.815789865985161,2.8421054058127857,0.7105263514531964,0.3157894736842105,0.625,0.447368421,0.076923076,98.2647779815051,4.973684460172375,4.172429834642383,3.803590373517406,4.30612056081673,0.22790337977027542,"Shohei Ohtani",19755,660271
"Andrew Morris","MIN",1,0,1,6,0,6.1,17.05263516315208,1.4210529302626733,1.4210529302626733,0.4166666666666667,0.35714286,0.769230769,1,96.86745976466759,5.684211721050693,2.25244946543637,1.8299058618307218,0.012480970357391818,0.22721007433167692,"Andrew Morris",31891,702193
"Steven Cruz","KCR",1,0,0,5,0,6.1,9.947370511838713,1.4210529302626733,0,0.21428571428571427,1,0.25,0,98.28426189811863,0,1.7170952397224633,1.356221551743164,2.7674642651796852,0.21683778478116728,"Steven Cruz",23165,674444
"George Kirby","SEA",0,2,0,2,2,12,11.25,2.25,1.5,0.40625,0.78947368,0.272727272,0.111111111,96.8773781105324,4.5,4.032139853262567,3.509730688730876,3.5775311820209033,0.21541755841417493,"George Kirby",25436,669923
