Name,Team,PA,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Jeremy Peña","HOU",48,32,91.36250019073486,103.9,105.8,6.59375,1,0.03125,16,0.5,0.377777777,0.2821333385176129,0.622222222,0.39335555765363905,0.4474849874774615,0.31718458452572423,"Jeremy Pena",21636,665161
"Willi Castro","COL",46,29,88.7275864173626,107.9,108.3,16.862068965517242,3,0.10344828,12,0.4137931,0.232558139,0.2733720932589021,0.348837209,0.40120929895445356,0.2808201481466708,0.3165186928666156,"Willi Castro",17338,650489
"Jake McCarthy","COL",53,46,85.4465112020803,104.4,108.6,11.13953488372093,2,0.04347826,12,0.26086957,0.392156862,0.29366667305721955,0.686274509,0.4003725484305737,0.46834372911813127,0.31508000166911,"Jake McCarthy",21622,664983
"Kahlil Watson","CLE",36,24,94.17826179836108,103.6,104.7,12.521739130434783,3,0.125,11,0.45833333,0.285714285,0.24805714397558143,0.428571428,0.47182856260665823,0.31996728479862213,0.31504500310661065,"Kahlil Watson",29905,696135
"Michael Harris II","ATL",34,26,88.0923074575571,106.1,108.6,6.653846153846154,3,0.11538462,11,0.42307692,0.25,0.3039062526077032,0.375,0.42299999855458736,0.27408619838602405,0.31475353416274576,"Michael Harris II",25931,671739
"Cal Raleigh","SEA",54,27,88.67777845594618,105.8,107.2,25.85185185185185,2,0.07407407,9,0.33333333,0.186046511,0.19162790650545164,0.279069767,0.31495349143826684,0.3029347304944639,0.3141262975555879,"Cal Raleigh",21534,663728
"Justin Crawford","PHI",42,29,85.8962956181279,101.3,105.1,6.703703703703703,0,0,11,0.37931034,0.275,0.30638461999404126,0.325,0.3712564095472678,0.28451038684163776,0.31407902444281227,"Justin Crawford",31791,702222
"Seiya Suzuki","CHC",53,33,90.70606116092566,104.8,111,17.696969696969695,1,0.03030303,12,0.36363636,0.333333333,0.25462221966849435,0.555555555,0.367822218603558,0.40335367423183516,0.3138060361709235,"Seiya Suzuki",30116,673548
"Richie Palacios","TBR",29,26,81.8791659673055,101,102.7,17.708333333333332,1,0.03846154,5,0.19230769,0.222222222,0.2809230748277444,0.259259259,0.37834614457992405,0.24551521704114718,0.3134014287165233,"Richie Palacios",24589,680700
"Michael Busch","CHC",57,34,86.60882501041188,101.9,108.2,15.588235294117647,2,0.05882353,11,0.32352941,0.130434782,0.17826087189757306,0.217391304,0.3408695527392885,0.2562521769289385,0.3123655089160852,"Michael Busch",26319,683737
"Daulton Varsho","TOR",31,18,84.56666734483507,106,107.3,21.11111111111111,3,0.16666667,7,0.38888889,0.275862068,0.22158620853362412,0.551724137,0.44996552464777023,0.37405067874539283,0.31203999995223936,"Daulton Varsho",19918,662139
"Brandon Marsh","PHI",56,34,88.99117727840648,103.8,106.6,14.441176470588236,7,0.20588235,15,0.44117647,0.314814814,0.22562963011916037,0.685185185,0.48396296095516944,0.4332315591829164,0.311825720194195,"Brandon Marsh",20202,669016
"Alex Bregman","CHC",52,32,85.640625,98.7,102.2,29.21875,0,0,10,0.3125,0.157894736,0.2043157875979025,0.184210526,0.24726315952935501,0.2726236249391849,0.3117589967755171,"Alex Bregman",17678,608324
"Ildemaro Vargas","ARI",29,23,86.32608828337297,102.8,107,8.391304347826088,1,0.04347826,6,0.26086957,0.16,0.24764000356197358,0.24,0.3281199985742569,0.245087874346766,0.311464829177692,"Ildemaro Vargas",13324,545121
"Jake Bauers","MIL",45,21,92.6047613961356,103.1,109.8,16.19047619047619,1,0.04761905,9,0.42857143,0.194444444,0.18527777958661318,0.333333333,0.3152222272215618,0.3207470840877957,0.3113465322388543,"Jake Bauers",15194,641343
"Max Schuemann","NYY",10,5,94.2999984741211,103.6,103.6,36.8,2,0.4,3,0.6,0.111111111,0.1571111073717475,0.444444444,0.4831111015131076,0.2782356321811676,0.31106339385733006,"Max Schuemann",24488,680474
"Christian Yelich","MIL",46,27,90.96538250262921,103.8,107.1,3.6538461538461537,3,0.11111111,17,0.62962963,0.195121951,0.21972500216215848,0.31707317,0.3931749895215034,0.27314195684764697,0.31031364442573656,"Christian Yelich",11477,592885
"Matt Olson","ATL",45,31,88.4483881304341,109.3,110.3,12.225806451612904,2,0.06451613,13,0.41935484,0.31707317,0.24075609663637673,0.365853658,0.3922682953316991,0.33625387483172947,0.30969956186082626,"Matt Olson",14344,621566
"Keibert Ruiz","WSN",33,24,86.94347680133322,99.7,104.8,13.478260869565217,0,0,8,0.33333333,0.266666666,0.2761333296696345,0.3,0.34283333718776704,0.2919230099880334,0.30963254697395093,"Keibert Ruiz",19610,660688
"Vladimir Guerrero Jr.","TOR",55,47,88.54042540205286,104.2,115.7,3.6382978723404253,4,0.08510638,20,0.42553191,0.207547169,0.27660377239281275,0.264150943,0.400999996459709,0.21212348937988282,0.30957490801811216,"Vladimir Guerrero Jr.",19611,665489
"Tyler Freeman","COL",38,27,87.0439988708496,101.1,102.5,9.2,0,0,7,0.25925926,0.3125,0.25009374879300594,0.34375,0.3069062512367964,0.3488755145588437,0.30840962198940486,"Tyler Freeman",22532,671289
"Blaze Jordan","STL",38,33,86.33333472049597,104.8,106.3,13.909090909090908,3,0.09090909,12,0.36363636,0.212121212,0.2560000051603173,0.303030303,0.3714848512952978,0.23039618918770238,0.3066905258517516,"Blaze Jordan",28199,691458
"Jared Young","NYM",32,21,89.31428600492931,105.7,107.8,13.952380952380953,3,0.14285714,10,0.47619048,0.178571428,0.2016428581971143,0.392857142,0.3848214330417769,0.3002268858253956,0.3066716883331537,"Jared Young",20404,676724
"Bryce Eldridge","SFG",46,28,92.08928462437221,107,110.2,6.357142857142857,3,0.10714286,14,0.5,0.2,0.19885000232607125,0.325,0.38834998924285175,0.28767391520997754,0.3062982594837313,"Bryce Eldridge",33390,805811
"JJ Bleday","CIN",48,26,85.12307797945462,99.3,105.6,14.961538461538462,0,0,9,0.34615385,0.111111111,0.2021111095091328,0.138888888,0.24005555115743643,0.2332650676686713,0.30543008383284226,"JJ Bleday",26368,668709
"Heriberto Hernández","MIA",39,26,91.48461503248949,105.1,110.9,18.846153846153847,2,0.07692308,11,0.42307692,0.147058823,0.1969411741284763,0.411764705,0.39161764698870044,0.29207919499812984,0.30533589384494686,"Heriberto Hernandez",24878,681715
"Tristan Peters","CHW",40,30,86.77930950296336,99.9,103.5,20.862068965517242,1,0.03333333,11,0.36666667,0.228571428,0.2587941174998003,0.371428571,0.3536764733931598,0.29662694334983825,0.3050383039009877,"Tristan Peters",30063,671976
"Max Muncy","ATH",39,23,84.64782582158628,104.3,106.7,9.695652173913043,2,0.08695652,7,0.30434783,0.228571428,0.22740000018051693,0.4,0.37717143680368154,0.3141257304411668,0.30403795074193907,"Max Muncy",29779,691777
"Masyn Winn","STL",40,34,89.7999994614545,105,107.5,10.764705882352942,1,0.02941176,10,0.29411765,0.315789473,0.2883421041463551,0.447368421,0.3647105207568721,0.35003395229578016,0.30388100147247316,"Masyn Winn",27479,691026
"Andrés Chaparro","WSN",17,9,94.16666751437717,109.3,109.3,11.333333333333334,2,0.22222222,6,0.66666667,0.142857142,0.19514285453728267,0.142857142,0.3143571466207504,0.2301425057298997,0.3037572906297796,"Andres Chaparro",21797,665953
"Nathan Lukes","TOR",43,35,85.77575729832505,98.8,102.4,10.424242424242424,1,0.02857143,7,0.2,0.282051282,0.2580256414337036,0.538461538,0.38061537822851765,0.3751962539695558,0.303568093194848,"Nathan Lukes",18123,664770
"Hunter Feduccia","TBR",21,12,90.07500076293945,104.1,106.8,18.916666666666668,3,0.25,4,0.33333333,0.105263157,0.18963158277696684,0.210526315,0.4276315728692632,0.1869314398084368,0.3028209530526683,"Hunter Feduccia",23372,676439
"Rafael Marchán","PHI",7,6,80.18333435058594,98.4,98.4,21.833333333333332,0,0,2,0.33333333,0.285714285,0.29028570652008057,0.285714285,0.4107142686843872,0.2547262225832258,0.30228571380887714,"Rafael Marchan",21646,665561
"George Springer","TOR",54,36,89.71388943990071,105.4,109.2,13.666666666666666,2,0.05555556,15,0.41666667,0.270833333,0.2388749967018763,0.458333333,0.38033332241078216,0.34291160106658936,0.3018909963192763,"George Springer",12856,543807
"James Wood","WSN",60,31,92.63870829920614,106.6,113.6,11.483870967741936,4,0.12903226,21,0.67741935,0.132075471,0.19484905561186233,0.245283018,0.3842641542542656,0.19176847146729292,0.30070304769580647,"James Wood",29518,695578
"Taylor Ward","BAL",59,41,88.06341478301258,102.3,106.2,15.78048780487805,4,0.09756098,14,0.34146341,0.232142857,0.23455357045999595,0.375,0.42130356947226183,0.2839446138527434,0.30003152358329904,"Taylor Ward",17548,621493
"Josh Jung","TEX",56,36,93.79722256130643,104.3,105.5,7.944444444444445,3,0.08333333,21,0.58333333,0.25490196,0.2457450967209012,0.333333333,0.3615490203978969,0.2965255528688431,0.29982346103393603,"Josh Jung",26299,673962
"Patrick Bailey","CLE",25,16,90.45999857584636,101.1,102,9.333333333333334,0,0,6,0.375,0.227272727,0.26140909015455027,0.227272727,0.3486363728615371,0.24402556071678796,0.29980166202100617,"Patrick Bailey",27478,672275
"Noelvi Marte","CIN",38,24,87.4782605378524,108.2,112.8,9.217391304347826,2,0.08333333,6,0.25,0.176470588,0.21684848539757007,0.352941176,0.3663636281183272,0.27428415888234187,0.29963459839691986,"Noelvi Marte",26517,682622
"Jonny DeLuca","TBR",24,19,84.67777506510417,104.6,104.9,25.055555555555557,2,0.10526316,5,0.26315789,0.227272727,0.20918181369250471,0.59090909,0.46027273989536543,0.35745623578195984,0.29898347154907556,"Jonny DeLuca",26365,676356
"Steven Kwan","CLE",44,32,84.86000035603841,96.7,101.1,16.666666666666668,0,0,6,0.1875,0.184210526,0.2418421057886199,0.210526315,0.2960526354022716,0.24636987258087506,0.29835759391161526,"Steven Kwan",24610,680757
"Corbin Carroll","ARI",49,34,88.70588280172909,103.8,112.9,17.61764705882353,3,0.08823529,12,0.35294118,0.266666666,0.2296888863046964,0.466666666,0.3845777716901567,0.3431234639518115,0.29713224467574334,"Corbin Carroll",25878,682998
"Matt Shaw","CHC",34,20,87.5157904373972,102.4,105.7,14.68421052631579,0,0,7,0.35,0.214285714,0.2076785729399749,0.392857142,0.2793214257274355,0.33658000476220074,0.297051001997555,"Matt Shaw",33322,807713
"Chase DeLauter","CLE",9,7,99.22856794084821,110.7,110.7,15.571428571428571,0,0,5,0.71428571,0.444444444,0.2894444399409824,0.555555555,0.4005555444293552,0.4375503526793586,0.2964444425370958,"Chase DeLauter",32127,800050
"Kyle Manzardo","CLE",51,29,87.48275862068965,101.4,102.1,26.17241379310345,3,0.10344828,11,0.37931034,0.186046511,0.21134884031706078,0.325581395,0.34062790753709715,0.28196553973590627,0.29600694092611474,"Kyle Manzardo",29794,700932
"Alec Bohm","PHI",50,39,89.41025680150742,103.7,107,5.051282051282051,2,0.05128205,14,0.35897436,0.239130434,0.24132608460343402,0.347826086,0.36399999892582063,0.29079406142234804,0.29594987869262696,"Alec Bohm",21618,664761
