Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Andruw Monasterio","- - -",187,414,454,99,59,29,1,10,53,49,36,0,111,3,0,1,6,10,6,0.239130434,"Andruw Monasterio",19455,655316
"Brett Baty","NYM",275,845,940,202,143,29,3,27,105,98,79,1,239,6,7,1,12,13,1,0.239053254,"Brett Baty",26123,683146
"Adam Frazier","- - -",279,762,846,182,133,35,2,12,93,72,57,2,168,16,5,6,9,11,6,0.238845144,"Adam Frazier",15223,624428
"Cole Young","SEA",177,582,652,139,99,21,2,17,72,72,53,1,118,9,5,3,8,4,3,0.238831615,"Cole Young",31680,702284
"Jeff McNeil","- - -",338,1093,1234,261,171,58,5,27,125,126,106,6,159,21,10,4,20,9,3,0.238792314,"Jeff McNeil",15362,643446
"Matt Chapman","SFG",366,1336,1534,319,179,80,5,55,209,181,172,5,365,17,9,0,27,24,8,0.238772455,"Matt Chapman",16505,656305
"Drew Waters","KCR",78,222,238,53,42,7,3,1,23,15,13,0,66,3,0,0,2,5,3,0.238738738,"Drew Waters",20505,671221
"Tyler Callihan","- - -",37,88,99,21,12,4,2,3,13,16,9,0,30,1,1,0,0,1,0,0.238636363,"Tyler Callihan",27497,682997
"Sung-Mun Song","SDP",44,88,102,21,16,4,0,1,16,15,13,0,16,0,0,1,1,11,2,0.238636363,"Sung-Mun Song",37122,823550
"Nick Madrigal","- - -",66,130,146,31,27,4,0,0,12,12,11,0,13,4,0,1,3,2,1,0.238461538,"Nick Madrigal",20521,663611
"Brooks Lee","MIN",285,1012,1097,241,168,36,4,33,103,142,70,2,181,6,8,1,22,12,5,0.238142292,"Brooks Lee",31595,686797
"Jesus Rodriguez","SFG",15,42,46,10,7,1,0,2,3,8,3,0,5,1,0,0,2,1,1,0.238095238,"Jesus Rodriguez",26991,683679
"Joc Pederson","- - -",318,891,1057,212,124,36,4,48,129,125,125,3,238,26,7,1,18,10,4,0.237934904,"Joc Pederson",11899,592626
"Oneil Cruz","PIT",345,1262,1426,300,177,62,6,55,179,181,145,11,453,10,9,0,17,81,10,0.237717908,"Oneil Cruz",21711,665833
"Tyler Heineman","- - -",113,261,301,62,47,10,1,4,35,26,19,0,59,10,2,9,5,3,0,0.237547892,"Tyler Heineman",13897,623168
"Thomas Saggese","STL",132,400,429,95,69,21,1,4,39,33,24,0,123,2,2,1,7,4,2,0.2375,"Thomas Saggese",27883,695336
"Jonathan India","- - -",304,1078,1262,256,170,58,2,26,155,111,142,0,244,30,9,3,25,13,6,0.237476808,"Jonathan India",21523,663697
"Adrian Del Castillo","ARI",121,354,386,84,55,16,0,13,35,59,28,0,123,1,3,0,8,1,1,0.237288135,"Adrian Del Castillo",29554,680728
